Year,Price,Year Start,Year End
2024,2.19,2024-01-01,2024-12-31
2023,2.53,2023-01-01,2023-12-31
2022,6.45,2022-01-01,2022-12-31
2021,3.89,2021-01-01,2021-12-31
2020,2.03,2020-01-01,2020-12-31
2019,2.56,2019-01-01,2019-12-31
2018,3.15,2018-01-01,2018-12-31
2017,2.99,2017-01-01,2017-12-31
2016,2.52,2016-01-01,2016-12-31
2015,2.62,2015-01-01,2015-12-31
2014,4.37,2014-01-01,2014-12-31
2013,3.73,2013-01-01,2013-12-31
2012,2.75,2012-01-01,2012-12-31
2011,4.0,2011-01-01,2011-12-31
2010,4.37,2010-01-01,2010-12-31
2009,3.94,2009-01-01,2009-12-31
2008,8.86,2008-01-01,2008-12-31
2007,6.97,2007-01-01,2007-12-31
2006,6.73,2006-01-01,2006-12-31
2005,8.69,2005-01-01,2005-12-31
2004,5.89,2004-01-01,2004-12-31
2003,5.47,2003-01-01,2003-12-31
2002,3.38,2002-01-01,2002-12-31
2001,3.96,2001-01-01,2001-12-31
2000,4.31,2000-01-01,2000-12-31
1999,2.27,1999-01-01,1999-12-31
1998,2.09,1998-01-01,1998-12-31
1997,2.49,1997-01-01,1997-12-31
